kind,source,app,web,use,status
image,design/redesign-2026-09/assets/modular/sneakers/sneaker_fire_01.png,app/src/main/res/drawable-nodpi/sneaker_fire_01.webp,,신발 카탈로그·꾸미기 상품 그림,APP_ACTIVE
image,design/redesign-2026-09/assets/modular/sneakers/sneaker_fire_02.png,app/src/main/res/drawable-nodpi/sneaker_fire_02.webp,,신발 카탈로그·꾸미기 상품 그림,APP_ACTIVE
image,design/redesign-2026-09/assets/modular/sneakers/sneaker_fire_03.png,app/src/main/res/drawable-nodpi/sneaker_fire_03.webp,,신발 카탈로그·꾸미기 상품 그림,APP_ACTIVE
image,design/redesign-2026-09/assets/modular/sneakers/sneaker_fire_04.png,app/src/main/res/drawable-nodpi/sneaker_fire_04.webp,,신발 카탈로그·꾸미기 상품 그림,APP_ACTIVE
image,design/redesign-2026-09/assets/modular/sneakers/sneaker_fire_05.png,app/src/main/res/drawable-nodpi/sneaker_fire_05.webp,,신발 카탈로그·꾸미기 상품 그림,APP_ACTIVE
image,design/redesign-2026-09/assets/modular/sneakers/sneaker_fire_06.png,app/src/main/res/drawable-nodpi/sneaker_fire_06.webp,,신발 카탈로그·꾸미기 상품 그림,APP_ACTIVE
image,design/redesign-2026-09/assets/modular/sneakers/sneaker_fire_07.png,app/src/main/res/drawable-nodpi/sneaker_fire_07.webp,,신발 카탈로그·꾸미기 상품 그림,APP_ACTIVE
image,design/redesign-2026-09/assets/modular/sneakers/sneaker_fire_08.png,app/src/main/res/drawable-nodpi/sneaker_fire_08.webp,,신발 카탈로그·꾸미기 상품 그림,APP_ACTIVE
image,design/redesign-2026-09/assets/modular/sneakers/sneaker_fire_09.png,app/src/main/res/drawable-nodpi/sneaker_fire_09.webp,,신발 카탈로그·꾸미기 상품 그림,APP_ACTIVE
image,design/redesign-2026-09/assets/modular/sneakers/sneaker_fire_10.png,app/src/main/res/drawable-nodpi/sneaker_fire_10.webp,,신발 카탈로그·꾸미기 상품 그림,APP_ACTIVE
image,design/redesign-2026-09/assets/modular/sneakers/sneaker_fire_11.png,app/src/main/res/drawable-nodpi/sneaker_fire_11.webp,,신발 카탈로그·꾸미기 상품 그림,APP_ACTIVE
image,design/redesign-2026-09/assets/modular/sneakers/sneaker_fire_12.png,app/src/main/res/drawable-nodpi/sneaker_fire_12.webp,,신발 카탈로그·꾸미기 상품 그림,APP_ACTIVE
