id,screen,layout,modules,asset_families,plan,scene_ids,character_pose,mockup_files,mockup,native_visual_review
screen-00,홈,T01,"M01, M02, M03, M04, M06, M09, M10, M14, M15, M16",scene; avatar_packages,전신 재사용+분리 합성 검증; 공통 배경 후보 2장 공유,HomeBlueNight; HomeDawn; Night,IDLE,design/redesign-2026-09/concepts/03-home.png,EXISTS_DRAFT,PENDING
screen-01,러닝 준비,T01,"M01, M02, M03, M04, M06, M09, M10, M14, M15, M16",scene; avatar_packages,달리기 포즈 필요분 산정; 배경 재사용 우선,RunNight; RunSunset,IDLE,design/redesign-2026-09/screens/09-running-ready.png,EXISTS_DRAFT,PENDING
screen-02,커뮤니티 기본,T04,"M01, M04, M05, M06, M08, M14, M18",scene; community_warmup_existing,게시/모임 콘텐츠 재사용; 전용 삽화 필요분만 산정,HomeDawn,none or inherited from parent,design/redesign-2026-09/concepts/05-community.png,EXISTS_DRAFT,PENDING
screen-03,보관함 기본,T02,"M01, M03, M04, M05, M06, M07, M10, M12, M14",product_art,상품 그림 재사용·품질 보완; 라벨/테두리 별도,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/12-items-vault.png,EXISTS_DRAFT,PENDING
screen-04,챌린지 기본,T01,"M01, M02, M03, M04, M06, M09, M10, M14, M15, M16",scene; avatar_packages,캐릭터·배경 재사용 우선; 필요 포즈 확인,HomeBlueNight; RunSunset; RunNight,IDLE,design/redesign-2026-09/concepts/07-challenge.png,EXISTS_DRAFT,PENDING
screen-05,내 정보 기본,T01,"M01, M02, M03, M04, M06, M09, M10, M14, M15, M16",scene; avatar_packages; profile_bench,독립 배경·벤치·전신; 핑크+클라우드 러너 앉기 2종. 다른 착장/부위 합성 남음,HomeBlueNight; HomeDawn,SIT or fallback IDLE,design/redesign-2026-09/concepts/08-profile.png,EXISTS_DRAFT,PENDING
screen-06,지갑,T06,"M01, M04, M05, M06, M08, M09, M10, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/44-wallet-empty-v2.png,EXISTS_DRAFT,PENDING
screen-07,코스 기본,T07,"M01, M03, M04, M05, M08, M12, M14, M17",live_map_tiles_and_vectors,실제 지도 타일·벡터 마커; 풍경 이미지 생성 없음,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/76-courses-select-map.png,EXISTS_DRAFT,PENDING
screen-08,업적,T06,"M01, M04, M05, M06, M08, M09, M10, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/45-achievements.png,EXISTS_DRAFT,PENDING
screen-09,통계 기본,T06,"M01, M04, M05, M06, M08, M09, M10, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/46-analytics-week-v2.png,EXISTS_DRAFT,PENDING
screen-10,알림 목록,T04,"M01, M04, M05, M06, M08, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/43-notifications-list.png; design/redesign-2026-09/screens/61-notifications-empty.png,EXISTS_DRAFT,PENDING
screen-11,소리·움직임 설정,T04,"M01, M04, M05, M06, M08, M11, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/35-settings-experience.png,EXISTS_DRAFT,PENDING
screen-12,알림 설정,T04,"M01, M04, M05, M06, M08, M11, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/36-settings-notifications.png,EXISTS_DRAFT,PENDING
screen-13,개인정보·권한 설정,T04,"M01, M04, M05, M06, M08, M11, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/58-settings-privacy.png,EXISTS_DRAFT,PENDING
screen-14,고객지원,T04,"M01, M04, M05, M06, M08, M11, M14",native_UI_and_existing_icons,공통 아이콘·UI 재사용; 전용 원본 필요 여부 확인,parent scene or native surface,none or inherited from parent,design/redesign-2026-09/screens/39-settings-support-v2.png,EXISTS_DRAFT,PENDING
