S2,frame,nodeId,url,plan
01,home,5:14,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-14,"재구성. 오늘 활동·목표·보상 상태, 러닝 시작, 코스 보기"
02,run,5:118,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-118,재구성. 실제 측정·지도·일시정지. 기존 러닝 서비스 연결
03,res,5:226,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-226,상태. 저장 결과·정산 상태·기록/공유. 저장 실패 분기 포함
04,kit,5:302,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-302,공통 부품 기준. 사용자 메뉴로 노출하지 않음
05,start,5:728,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-728,"재구성. 기존 첫 안내를 S2 소개로 전환, 건너뛰기 제공"
06,shoes,5:893,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-893,재구성. 실제 착용 신발·보유 수·착용 변경. 마켓/뽑기 진입
07,gacha,5:1033,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-1033,재구성. 기존 뽑기 준비 상태·결과. 금액/확률은 실제 정책
08,me,5:1245,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-1245,재구성. 실제 프로필·기록·지갑·설정 진입
09,crewList,5:1407,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-1407,"재구성. 번개·크루·지난 모임 중심, 기존 게시판 진입 유지"
10,crewMap,5:1588,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-1588,"재구성. 실제 모임/코스 지도, 현재 위치·목록 보기"
11,crewMake,5:1678,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-1678,재구성/보완. 단발 모임 만들기와 지속 크루 만들기를 구분
12,crewDetail,5:1822,https://www.figma.com/design/BxZ1zZo74Ym7Rb8mM8cDJn/?node-id=5-1822,재구성. 모임 정보·참가 조건·참가 행동
