id,kind,status,existing,requirement
FIR-001,sneaker_product,RENDER_HIGH_RES,app/src/main/res/drawable-nodpi/sneaker_fire_01.webp,transparent product cutout; preserve shared scale; inspect light/dark edges; 340x209 current source
FIR-002,sneaker_product,RENDER_HIGH_RES,app/src/main/res/drawable-nodpi/sneaker_fire_02.webp,transparent product cutout; preserve shared scale; inspect light/dark edges; 340x209 current source
FIR-003,sneaker_product,RENDER_HIGH_RES,app/src/main/res/drawable-nodpi/sneaker_fire_03.webp,transparent product cutout; preserve shared scale; inspect light/dark edges; 340x209 current source
FIR-004,sneaker_product,RENDER_HIGH_RES,app/src/main/res/drawable-nodpi/sneaker_fire_04.webp,transparent product cutout; preserve shared scale; inspect light/dark edges; 340x209 current source
FIR-005,sneaker_product,RENDER_HIGH_RES,app/src/main/res/drawable-nodpi/sneaker_fire_05.webp,transparent product cutout; preserve shared scale; inspect light/dark edges; 340x209 current source
FIR-006,sneaker_product,RENDER_HIGH_RES,app/src/main/res/drawable-nodpi/sneaker_fire_06.webp,transparent product cutout; preserve shared scale; inspect light/dark edges; 340x209 current source
FIR-007,sneaker_product,RENDER_HIGH_RES,app/src/main/res/drawable-nodpi/sneaker_fire_07.webp,transparent product cutout; preserve shared scale; inspect light/dark edges; 340x209 current source
FIR-008,sneaker_product,RENDER_HIGH_RES,app/src/main/res/drawable-nodpi/sneaker_fire_08.webp,transparent product cutout; preserve shared scale; inspect light/dark edges; 340x209 current source
FIR-009,sneaker_product,RENDER_HIGH_RES,app/src/main/res/drawable-nodpi/sneaker_fire_09.webp,transparent product cutout; preserve shared scale; inspect light/dark edges; 340x209 current source
FIR-010,sneaker_product,RENDER_HIGH_RES,app/src/main/res/drawable-nodpi/sneaker_fire_10.webp,transparent product cutout; preserve shared scale; inspect light/dark edges; 340x209 current source
FIR-011,sneaker_product,RENDER_HIGH_RES,app/src/main/res/drawable-nodpi/sneaker_fire_11.webp,transparent product cutout; preserve shared scale; inspect light/dark edges; 340x209 current source
FIR-012,sneaker_product,RENDER_HIGH_RES,app/src/main/res/drawable-nodpi/sneaker_fire_12.webp,transparent product cutout; preserve shared scale; inspect light/dark edges; 340x209 current source
FIR-013,sneaker_product,RENDER_HIGH_RES,app/src/main/res/drawable-nodpi/sneaker_fire_13.webp,transparent product cutout; preserve shared scale; inspect light/dark edges; 340x209 current source
WAT-001,sneaker_product,RENDER_HIGH_RES,app/src/main/res/drawable-nodpi/sneaker_water_01.webp,transparent product cutout; preserve shared scale; inspect light/dark edges; 340x209 current source
WAT-002,sneaker_product,RENDER_HIGH_RES,app/src/main/res/drawable-nodpi/sneaker_water_02.webp,transparent product cutout; preserve shared scale; inspect light/dark edges; 340x209 current source
WAT-003,sneaker_product,RENDER_HIGH_RES,app/src/main/res/drawable-nodpi/sneaker_water_03.webp,transparent product cutout; preserve shared scale; inspect light/dark edges; 340x209 current source
WAT-004,sneaker_product,RENDER_HIGH_RES,app/src/main/res/drawable-nodpi/sneaker_water_04.webp,transparent product cutout; preserve shared scale; inspect light/dark edges; 340x209 current source
WAT-005,sneaker_product,RENDER_HIGH_RES,app/src/main/res/drawable-nodpi/sneaker_water_05.webp,transparent product cutout; preserve shared scale; inspect light/dark edges; 340x209 current source
