gender,pose,outfit,cap_asset
MALE,IDLE,starter_hoodie,male-idle-cap-starter-hoodie
MALE,IDLE,CLO-001,male-idle-cap-starter-hoodie
MALE,IDLE,CLO-002,male-idle-cap-starter-hoodie
MALE,IDLE,CLO-003,male-idle-cap-starter-hoodie
MALE,IDLE,CLO-004,male-idle-cap-starter-hoodie
MALE,IDLE,CLO-005,male-idle-cap-starter-hoodie
MALE,IDLE,STUDIO-PINK,male-idle-cap-studio-pink
MALE,IDLE,STUDIO-LAVENDER,male-idle-cap-studio-lavender
MALE,IDLE,STUDIO-OLIVE,male-idle-cap-studio-olive
MALE,RUN,starter_hoodie,male-run-cap-starter-hoodie
MALE,RUN,CLO-001,male-run-cap-starter-hoodie
MALE,RUN,CLO-002,male-run-cap-starter-hoodie
MALE,RUN,CLO-003,male-run-cap-starter-hoodie
MALE,RUN,CLO-004,male-run-cap-starter-hoodie
MALE,RUN,CLO-005,male-run-cap-starter-hoodie
MALE,RUN,STUDIO-PINK,male-run-cap-studio-pink
MALE,RUN,STUDIO-LAVENDER,male-run-cap-studio-lavender
MALE,RUN,STUDIO-OLIVE,male-run-cap-studio-olive
MALE,CHEER,starter_hoodie,male-cheer-cap-starter-hoodie
MALE,CHEER,CLO-001,male-cheer-cap-starter-hoodie
MALE,CHEER,CLO-002,male-cheer-cap-starter-hoodie
MALE,CHEER,CLO-003,male-cheer-cap-starter-hoodie
MALE,CHEER,CLO-004,male-cheer-cap-starter-hoodie
MALE,CHEER,CLO-005,male-cheer-cap-starter-hoodie
MALE,CHEER,STUDIO-PINK,male-cheer-cap-studio-pink
MALE,CHEER,STUDIO-LAVENDER,male-cheer-cap-studio-lavender
MALE,CHEER,STUDIO-OLIVE,male-cheer-cap-studio-olive
MALE,SIT,starter_hoodie,male-sit-cap-starter-hoodie
MALE,SIT,CLO-001,male-sit-cap-starter-hoodie
MALE,SIT,CLO-002,male-sit-cap-starter-hoodie
MALE,SIT,CLO-003,male-sit-cap-starter-hoodie
MALE,SIT,CLO-004,male-sit-cap-starter-hoodie
MALE,SIT,CLO-005,male-sit-cap-starter-hoodie
MALE,SIT,STUDIO-PINK,male-sit-cap-studio-pink
MALE,SIT,STUDIO-LAVENDER,male-sit-cap-studio-lavender
MALE,SIT,STUDIO-OLIVE,male-sit-cap-studio-olive
FEMALE,IDLE,starter_hoodie,female-idle-cap-starter-hoodie
FEMALE,IDLE,CLO-001,female-idle-cap-clo-001
FEMALE,IDLE,CLO-002,female-idle-cap-clo-002
FEMALE,IDLE,CLO-003,female-idle-cap-clo-003
FEMALE,IDLE,CLO-004,female-idle-cap-clo-004
FEMALE,IDLE,CLO-005,female-idle-cap-clo-005
FEMALE,IDLE,STUDIO-PINK,female-idle-cap-studio-pink
FEMALE,IDLE,STUDIO-LAVENDER,female-idle-cap-studio-lavender
FEMALE,IDLE,STUDIO-OLIVE,female-idle-cap-studio-olive
FEMALE,RUN,starter_hoodie,female-run-cap-starter-hoodie
FEMALE,RUN,CLO-001,female-run-cap-clo-001
FEMALE,RUN,CLO-002,female-run-cap-clo-002
FEMALE,RUN,CLO-003,female-run-cap-clo-003
FEMALE,RUN,CLO-004,female-run-cap-clo-004
FEMALE,RUN,CLO-005,female-run-cap-clo-005
FEMALE,RUN,STUDIO-PINK,female-run-cap-studio-pink
FEMALE,RUN,STUDIO-LAVENDER,female-run-cap-studio-lavender
FEMALE,RUN,STUDIO-OLIVE,female-run-cap-studio-olive
FEMALE,CHEER,starter_hoodie,female-cheer-cap-starter-hoodie
FEMALE,CHEER,CLO-001,female-cheer-cap-clo-001
FEMALE,CHEER,CLO-002,female-cheer-cap-clo-002
FEMALE,CHEER,CLO-003,female-cheer-cap-clo-003
FEMALE,CHEER,CLO-004,female-cheer-cap-clo-004
FEMALE,CHEER,CLO-005,female-cheer-cap-clo-005
FEMALE,CHEER,STUDIO-PINK,female-cheer-cap-studio-pink
FEMALE,CHEER,STUDIO-LAVENDER,female-cheer-cap-studio-lavender
FEMALE,CHEER,STUDIO-OLIVE,female-cheer-cap-studio-olive
FEMALE,SIT,starter_hoodie,female-sit-cap-starter-hoodie
FEMALE,SIT,CLO-001,female-sit-cap-clo-001
FEMALE,SIT,CLO-002,female-sit-cap-clo-002
FEMALE,SIT,CLO-003,female-sit-cap-clo-003
FEMALE,SIT,CLO-004,female-sit-cap-clo-004
FEMALE,SIT,CLO-005,female-sit-cap-clo-005
FEMALE,SIT,STUDIO-PINK,female-sit-cap-studio-pink
FEMALE,SIT,STUDIO-LAVENDER,female-sit-cap-studio-lavender
FEMALE,SIT,STUDIO-OLIVE,female-sit-cap-studio-olive
