"기존 경로","새 부모 메뉴","S2 대응","진입 위치","처리안"
"Screen.Run.route","러닝","01/20/41-45","러닝 홈","재구성"
"Routes.MYSTERY_BOX","신발","07","신발 > 새 신발 뽑기","진입 이동"
"Screen.Customize.route","신발","06","신발 홈","재구성"
"Routes.RUNNER_MARKET","신발","30","신발 > 마켓","유지"
"Screen.Community.route","같이 뛰기","09/15","같이 뛰기 홈","재구성"
"Routes.MAP","같이 뛰기","10","같이 뛰기 > 지도 > 주변/영역","유지"
"Routes.ITEMS","신발","06","신발 > 보유 신발","보완"
"Routes.MARKET_MODEL","신발","30/31","신발 > 마켓 > 상품 > 매수/매도","유지"
"Routes.NEWS","러닝","시안 없음","러닝 > 더 보기 > 소식","보완"
"Routes.EVENTS","내 정보","33/28","내 정보 > 챌린지; 러닝 더 보기에서도 연결","유지"
"Screen.Profile.route","내 정보","08","내 정보 홈","재구성"
"Routes.RUN_ROUTE","러닝","02/03/23-27/36-38/40","러닝 > 시작/재개","상태 재구성"
"Routes.COURSES","러닝","18","러닝 > 코스 보기 > 선택/만들기/게시판","유지"
"Routes.WALLET","내 정보","21","내 정보 > 지갑; 잔액에서도 연결","재구성"
"Routes.NOTIFICATIONS","내 정보","34","내 정보 > 알림","재구성"
"Routes.ACHIEVEMENTS","내 정보","33 보완","내 정보 > 챌린지·업적 > 업적","유지"
"Routes.ANALYTICS","내 정보","32","내 정보 > 기록/통계","재구성"
"Routes.HISTORY_MAP","내 정보","32 보완","내 정보 > 기록 > 경로 지도","유지"
"Routes.SETTINGS_NOTIFICATIONS","내 정보","35","내 정보 > 설정 > 알림","유지"
"Routes.SETTINGS_PRIVACY","내 정보","35","내 정보 > 설정 > 개인정보","유지"
"Routes.SETTINGS_SUPPORT","내 정보","35","내 정보 > 설정 > 도움말","유지"
"Routes.SETTINGS_CONNECTED","내 정보","35","내 정보 > 설정 > 연결 계정","유지"
"Routes.SETTINGS_EXPERIENCE","내 정보","35","내 정보 > 설정 > 소리/진동/모션","유지"
"Routes.SETTINGS_THEME","내 정보","35","내 정보 > 설정 > 테마/풍경 선택","기존 테마 유지; 풍경 선택 보완"
"Routes.SETTINGS_LANGUAGE","내 정보","35","내 정보 > 설정 > 언어","유지"
"Routes.SNEAKER","신발","29","신발 > 보유 신발 > 상세/강화/판매","재구성"
"Routes.LOBBY","같이 뛰기","13/15","같이 뛰기 > 내 크루 > 대기실","유지"
"Routes.SNEAKER_DEX","신발","시안 없음","신발 > 도감","보완"
"Routes.RANKING","같이 뛰기","시안 없음","같이 뛰기 > 랭킹","보완"
"Routes.CREW_CREATE","같이 뛰기","11 보완","같이 뛰기 > 내 크루 > 크루 만들기","번개 만들기와 구분"
"Routes.CREW_BOARD","같이 뛰기","15 보완","같이 뛰기 > 내 크루 > 게시판","유지"
"Routes.FLASH_DETAIL","같이 뛰기","12","같이 뛰기 > 번개 상세","재구성"
"Routes.FLASH_LOBBY","같이 뛰기","13/14","같이 뛰기 > 참여한 번개 > 대기실","재구성"
"Routes.POST_COMPOSE","같이 뛰기","11 보완","같이 뛰기 > 모임 만들기/이야기 쓰기","기존 작성 유형 유지"
