id,family,gender,pose,variant,status,evidence,specification,usage
male-idle-body-base,body,MALE,IDLE,base,NEW,,"1024x1536 transparent aligned body/face/eyes/skin; rear hair/arms and front hair/hands/occlusion layers; no outfit, cap or shoe",all character scenes
male-idle-outfit-starter-hoodie,outfit,MALE,IDLE,starter_hoodie,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-idle-outfit-clo-001,outfit,MALE,IDLE,CLO-001,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-idle-outfit-clo-002,outfit,MALE,IDLE,CLO-002,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-idle-outfit-clo-003,outfit,MALE,IDLE,CLO-003,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-idle-outfit-clo-004,outfit,MALE,IDLE,CLO-004,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-idle-outfit-clo-005,outfit,MALE,IDLE,CLO-005,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-idle-outfit-studio-pink,outfit,MALE,IDLE,STUDIO-PINK,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-idle-outfit-studio-lavender,outfit,MALE,IDLE,STUDIO-LAVENDER,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-idle-outfit-studio-olive,outfit,MALE,IDLE,STUDIO-OLIVE,NEW,,"same-frame upper, shorts and socks; preserve sleeve/hand overlap with rear/front garment or masks; no cap or shoes","home, run, wardrobe, challenge, result, profile, market preview"
male-idle-cap-starter-hoodie,cap,MALE,IDLE,starter_hoodie,NEW,,"same-frame cap, brim and UP logo; rear/front or hair occlusion where required; selected by outfit ID",all equipped-character scenes
male-idle-cap-studio-pink,cap,MALE,IDLE,STUDIO-PINK,NEW,,"same-frame cap, brim and UP logo; rear/front or hair occlusion where required; selected by outfit ID",all equipped-character scenes
male-idle-cap-studio-lavender,cap,MALE,IDLE,STUDIO-LAVENDER,NEW,,"same-frame cap, brim and UP logo; rear/front or hair occlusion where required; selected by outfit ID",all equipped-character scenes
male-idle-cap-studio-olive,cap,MALE,IDLE,STUDIO-OLIVE,NEW,,"same-frame cap, brim and UP logo; rear/front or hair occlusion where required; selected by outfit ID",all equipped-character scenes
male-idle-worn_shoes-shoes-base,worn_shoes,MALE,IDLE,SHOES-BASE,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-fir-001,worn_shoes,MALE,IDLE,FIR-001,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-fir-002,worn_shoes,MALE,IDLE,FIR-002,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-fir-003,worn_shoes,MALE,IDLE,FIR-003,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-fir-004,worn_shoes,MALE,IDLE,FIR-004,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-fir-005,worn_shoes,MALE,IDLE,FIR-005,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-fir-006,worn_shoes,MALE,IDLE,FIR-006,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-fir-007,worn_shoes,MALE,IDLE,FIR-007,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-fir-008,worn_shoes,MALE,IDLE,FIR-008,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-fir-009,worn_shoes,MALE,IDLE,FIR-009,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-fir-010,worn_shoes,MALE,IDLE,FIR-010,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-fir-011,worn_shoes,MALE,IDLE,FIR-011,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-fir-012,worn_shoes,MALE,IDLE,FIR-012,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-fir-013,worn_shoes,MALE,IDLE,FIR-013,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wat-001,worn_shoes,MALE,IDLE,WAT-001,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wat-002,worn_shoes,MALE,IDLE,WAT-002,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wat-003,worn_shoes,MALE,IDLE,WAT-003,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wat-004,worn_shoes,MALE,IDLE,WAT-004,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wat-005,worn_shoes,MALE,IDLE,WAT-005,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wat-006,worn_shoes,MALE,IDLE,WAT-006,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wat-007,worn_shoes,MALE,IDLE,WAT-007,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wat-008,worn_shoes,MALE,IDLE,WAT-008,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wat-009,worn_shoes,MALE,IDLE,WAT-009,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wat-010,worn_shoes,MALE,IDLE,WAT-010,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wat-011,worn_shoes,MALE,IDLE,WAT-011,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wat-012,worn_shoes,MALE,IDLE,WAT-012,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-wat-013,worn_shoes,MALE,IDLE,WAT-013,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-lit-001,worn_shoes,MALE,IDLE,LIT-001,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-lit-002,worn_shoes,MALE,IDLE,LIT-002,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-lit-003,worn_shoes,MALE,IDLE,LIT-003,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-lit-004,worn_shoes,MALE,IDLE,LIT-004,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-lit-005,worn_shoes,MALE,IDLE,LIT-005,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-lit-006,worn_shoes,MALE,IDLE,LIT-006,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-lit-007,worn_shoes,MALE,IDLE,LIT-007,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-lit-008,worn_shoes,MALE,IDLE,LIT-008,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
male-idle-worn_shoes-lit-009,worn_shoes,MALE,IDLE,LIT-009,NEW,,"same-frame left/right worn pair, sole and foot contact; rear/front and occlusion where required; not the product thumbnail",all equipped-character scenes
